X,Y,station,latitude,longitude,iphc_area,lbs_t_1998,cnt_t_1998,lbs_o32in_1998,a_lbs_o32_1998,t_avg_lbs_1998,pct_t_o32_1998,pct_bin_1998,lbs_t_1999,cnt_t_1999,lbs_o32in_1999,a_lbs_o32_1999,t_avg_lbs_1999,pct_t_o32_1999,pct_bin_1999,lbs_t_2000,cnt_t_2000,lbs_o32in_2000,a_lbs_o32_2000,t_avg_lbs_2000,pct_t_o32_2000,pct_bin_2000,lbs_t_2001,cnt_t_2001,lbs_o32in_2001,a_lbs_o32_2001,t_avg_lbs_2001,pct_t_o32_2001,pct_bin_2001,lbs_t_2002,cnt_t_2002,lbs_o32in_2002,a_lbs_o32_2002,t_avg_lbs_2002,pct_t_o32_2002,pct_bin_2002,lbs_t_2003,cnt_t_2003,lbs_o32in_2003,a_lbs_o32_2003,t_avg_lbs_2003,pct_t_o32_2003,pct_bin_2003,lbs_t_2004,cnt_t_2004,lbs_o32in_2004,a_lbs_o32_2004,t_avg_lbs_2004,pct_t_o32_2004,pct_bin_2004,lbs_t_2005,cnt_t_2005,lbs_o32in_2005,a_lbs_o32_2005,t_avg_lbs_2005,pct_t_o32_2005,pct_bin_2005,lbs_t_2006,cnt_t_2006,lbs_o32in_2006,a_lbs_o32_2006,t_avg_lbs_2006,pct_t_o32_2006,pct_bin_2006,lbs_t_2007,cnt_t_2007,lbs_o32in_2007,a_lbs_o32_2007,t_avg_lbs_2007,pct_t_o32_2007,pct_bin_2007,lbs_t_2008,cnt_t_2008,lbs_o32in_2008,a_lbs_o32_2008,t_avg_lbs_2008,pct_t_o32_2008,pct_bin_2008,lbs_t_2009,cnt_t_2009,lbs_o32in_2009,a_lbs_o32_2009,t_avg_lbs_2009,pct_t_o32_2009,pct_bin_2009,lbs_t_2010,cnt_t_2010,lbs_o32in_2010,a_lbs_o32_2010,t_avg_lbs_2010,pct_t_o32_2010,pct_bin_2010,lbs_t_2011,cnt_t_2011,lbs_o32in_2011,a_lbs_o32_2011,t_avg_lbs_2011,pct_t_o32_2011,pct_bin_2011,lbs_t_2012,cnt_t_2012,lbs_o32in_2012,a_lbs_o32_2012,t_avg_lbs_2012,pct_t_o32_2012,pct_bin_2012,lbs_t_2013,cnt_t_2013,lbs_o32in_2013,a_lbs_o32_2013,t_avg_lbs_2013,pct_t_o32_2013,pct_bin_2013,lbs_t_2014,cnt_t_2014,lbs_o32in_2014,a_lbs_o32_2014,t_avg_lbs_2014,pct_t_o32_2014,pct_bin_2014,lbs_t_2015,cnt_t_2015,lbs_o32in_2015,a_lbs_o32_2015,t_avg_lbs_2015,pct_t_o32_2015,pct_bin_2015
-140.006963,59.49987963,4072,59.49987963,-140.006963,3A,0,0,0,0,0,0,1,0,0,0,0,0,0,1,127,unknown,81,unknown,unknown,unknown,1,0,0,0,0,0,0,1,261,20,165,18,27,45,3,0,0,0,0,0,0,1,65,8,22,11,18,25,2,29,2,18,18,29,50,3,171,14,91,23,31,29,3,11,1,0,0,0,0,1,46,5,18,18,25,20,2,32,3,27,14,19,67,4,86,12,27,14,19,17,2,289,34,122,20,26,18,2,0,0,0,0,0,0,1,142,18,40,13,20,17,2,105,5,88,29,38,60,4,84,6,62,21,28,50,3
-176.6315208,59.49954167,7086,59.49954167,-176.6315208,4D,,,,,,,,,,,,,,,111,unknown,102,unknown,unknown,unknown,1,0,0,0,0,0,0,1,220,6,220,37,0,100,5,504,33,381,22,30,52,4,571,19,537,36,44,79,5,67,4,50,25,34,50,3,184,11,162,23,29,64,4,81,8,45,15,22,38,3,141,14,89,13,20,50,3,114,6,103,21,32,83,5,111,4,104,35,42,75,4,106,12,42,14,21,25,2,8,1,0,0,0,0,1,7,1,0,0,0,0,1,11,1,0,0,0,0,1,36,4,13,13,21,25,2
170.95105,53.16721667,6156,53.16721667,170.95105,4B,,,,,,,,378,unknown,378,unknown,unknown,unknown,1,104,unknown,104,unknown,unknown,unknown,1,0,0,0,0,0,0,1,157,2,157,79,0,100,5,1068,8,1068,134,0,100,5,0,0,0,0,0,0,1,126,2,126,63,0,100,5,224,4,224,56,0,100,5,117,3,109,55,63,67,4,413,4,413,103,0,100,5,1570,16,1570,98,0,100,5,254,2,254,127,0,100,5,36,1,36,36,0,100,5,0,0,0,0,0,0,1,110,3,110,37,0,100,5,117,3,117,39,0,100,5,37,1,37,37,0,100,5
-146.86925,59.99883333,4130,59.99883333,-146.86925,3A,75,unknown,67,unknown,unknown,unknown,1,7,unknown,0,0,0,0,1,120,unknown,120,unknown,unknown,unknown,1,0,0,0,0,0,0,1,246,13,192,27,36,54,4,0,0,0,0,0,0,1,69,6,50,17,23,50,3,0,0,0,0,0,0,1,75,2,75,38,0,100,5,100,8,65,16,25,50,3,34,3,31,16,19,67,4,247,20,165,18,26,45,3,0,0,0,0,0,0,1,87,9,34,11,20,33,3,57,5,48,12,21,80,5,11,2,0,0,0,0,1,321,22,236,21,29,50,3,120,8,96,19,27,63,4
-144.9799444,59.99840741,4126,59.99840741,-144.9799444,3A,79,unknown,79,unknown,unknown,unknown,1,122,unknown,122,unknown,unknown,unknown,1,304,unknown,284,unknown,unknown,unknown,1,0,0,0,0,0,0,1,204,13,182,18,26,77,5,34,2,34,17,0,100,5,52,2,52,26,0,100,5,11,1,11,11,0,100,5,28,1,28,28,0,100,5,19,1,19,19,0,100,5,29,2,29,15,0,100,5,158,10,150,17,25,90,5,105,5,82,41,49,40,3,146,14,103,15,21,50,3,272,18,242,16,26,83,5,570,31,506,21,30,77,5,1091,82,787,17,26,56,4,1182,96,857,15,23,58,4
173.7578889,52.29561111,6133,52.29561111,173.7578889,4B,,,,,,,,210,unknown,150,unknown,unknown,unknown,1,518,unknown,502,unknown,unknown,unknown,1,0,0,0,0,0,0,1,350,31,221,16,23,45,3,716,41,522,29,37,44,3,952,35,883,33,41,77,5,1075,39,1040,30,38,90,5,1032,38,998,29,38,89,5,,,,,,,,675,41,575,22,29,63,4,957,38,923,27,36,89,5,713,31,683,25,33,87,5,379,14,343,38,45,64,4,452,16,445,30,37,94,5,86,7,71,14,22,71,4,123,8,115,16,24,88,5,982,49,930,22,30,86,5
-176.9676979,59.50030208,7087,59.50030208,-176.9676979,4D,,,,,,,,,,,,,,,974,unknown,926,unknown,unknown,unknown,1,0,0,0,0,0,0,1,604,14,594,46,56,93,5,3593,197,3257,20,29,81,5,1563,70,1447,25,34,81,5,225,16,168,19,27,56,4,511,28,457,22,29,75,4,510,28,458,21,29,79,5,431,35,286,20,27,40,3,1334,84,1198,18,26,81,5,196,14,152,19,26,57,4,381,28,283,20,27,50,3,29,4,0,0,0,0,1,85,4,81,27,31,75,4,9,2,0,0,0,0,1,211,22,108,15,22,32,3
-138.7316863,58.83493137,4038,58.83493137,-138.7316863,3A,1575,unknown,1055,unknown,unknown,unknown,1,639,unknown,553,unknown,unknown,unknown,1,2972,unknown,1775,unknown,unknown,unknown,1,0,0,0,0,0,0,1,,,,,,,,242,24,119,15,23,33,3,231,14,219,18,24,86,5,782,63,535,15,24,56,4,24,1,24,24,0,100,5,28,4,12,12,17,25,2,648,65,346,16,23,32,3,378,66,93,16,20,9,2,30,3,13,13,22,33,3,152,17,78,16,22,29,3,267,29,125,14,21,31,3,254,32,100,14,20,22,2,2153,208,1134,15,22,38,3,84,12,13,13,19,8,2
-124.6673125,42.8326875,1006,42.8326875,-124.6673125,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,1,0,0,0,0,1,32,4,11,11,18,25,2,0,0,0,0,0,0,1,34,3,26,13,21,67,4,0,0,0,0,0,0,1,43,3,34,17,26,67,4,81,4,72,24,33,75,4,24,2,14,14,24,50,3,229,9,220,28,37,89,5,288,13,275,25,32,85,5,133,8,103,21,31,63,4,276,11,266,27,37,91,5,65,3,65,22,0,100,5
-124.4336354,43.50072917,1012,43.50072917,-124.4336354,2A,,,,,,,,0,0,0,0,0,0,1,,,,,,,,0,0,0,0,0,0,1,12,1,12,12,0,100,5,90,6,60,30,38,33,3,32,3,15,15,24,33,3,23,2,14,14,23,50,3,47,5,14,14,22,20,2,16,2,0,0,0,0,1,231,15,185,21,28,60,4,7,1,0,0,0,0,1,66,6,29,15,24,33,3,386,23,325,20,29,70,4,74,3,74,25,0,100,5,227,12,227,19,0,100,5,69,5,69,14,0,100,5,367,22,332,18,27,82,5
